clust,lden,den,ID,Lat,Lon,depth,Country_number,Code,Grav_tot,reg_pop_growth,MPA_SCORE,RATING,Productivity_mean
174,2.836816249,20,367,-12.9639,45.0835,0,8,FRA,59,1298.458052,0,none,12344.56088
175,0.247348121,1.125,368,-12.9679,-38.6023,0,7,BRA,4033,735.1519462,0,none,3776.212877
176,0.510775621,2.5,369,-12.9854,45.1838,0,8,FRA,94,1412.698261,2,Partially Effective,52435.40055
177,-0.130682382,0.6,370,-12,143.84,0.5,2,AUS,0,0.000400607,2,Partially Effective,595.341901
178,1.172591452,3.25,371,-13.0258,48.538,0,9,MDG,23,333.3793699,0,none,723.9359403
179,-0.223143551,0.5,373,-13.1317,-38.7372,0,7,BRA,516,703.7378862,0,none,35547.14592
180,-0.356674944,0.4,374,-13.18,143.84,0,2,AUS,0,0.000169443,2,Partially Effective,717
181,0.368582033,1.2,375,-13.21,-163.13,1,10,CIS,0,0,0,none,127.0858792
182,-0.130682382,0.6,382,-13.26,-163.1,0,10,CIS,0,0,0,none,127.5787386
183,-0.218284427,0.5625,384,-13.3065,48.1162,1,9,MDG,316,379.7672912,0,none,564
184,0.048790164,0.75,385,-13.3102,45.695,1,9,MDG,32,1550.046665,0,none,264.179385
185,0.689098683,4.0625,386,-13.3167,45.8208,1,9,MDG,32,1619.031118,0,none,265.3715425
186,0.764655934,2.125,392,-13.3226,48.1559,1,9,MDG,316,368.3308813,0,none,683.8273665
187,-0.105360516,0.6,388,-13.31,-163.13,1,10,CIS,0,0,0,none,124.0384329
188,0.708835948,1.9375,389,-13.3203,48.0309,1,9,MDG,27,394.2972089,0,none,495.3515583
189,0.351858066,1.8125,395,-13.3733,48.1804,1,9,MDG,316,356.2775278,0,none,791.8098899
190,1.258444848,6.125,397,-13.4836,48.2394,1,9,MDG,48,331.4695241,0,none,14316.01748
191,-0.356674944,0.4,401,-13.62,122.01,1,2,AUS,0,1.39E-06,0,none,250.2312608
192,0.09531018,0.8,403,-13.68,136.45,1,2,AUS,0,0.00162913,0,none,1148.001038
193,0.543210913,1.475,404,-13.8012,146.557,1,2,AUS,0,511.0136842,0,none,248.63459
194,-0.356674944,0.4,407,-13.82,-171.76,1,11,WSM,157,71.1651551,0,none,184.0296973
195,0.09531018,0.8,408,-13.82,127.27,0,2,AUS,0,0.000156552,0,Unrated,894.0981932
196,-0.356674944,0.4,409,-13.82,144.28,0,2,AUS,0,1.33E-05,2,Partially Effective,621.5
197,-0.356674944,0.4,410,-13.85,146.57,0,2,AUS,0,511.0136842,0,none,249.12031
198,-0.356674944,0.4,412,-13.86,146.62,1,2,AUS,0,511.0136842,0,none,248.3643101
199,-0.067853775,0.65,414,-13.8872,146.557,0,2,AUS,0,511.0136842,0,none,252.2633113
200,3.408109111,88.4375,420,-13.9246,136.832,0,2,AUS,0,0.002874634,0,none,32382.87778
201,-0.243678663,0.5,421,-13.92,121.91,1,2,AUS,0,1.39E-06,0,none,273.05641
202,0.024395082,0.8,423,-13.94,125.64,0,2,AUS,0,8.37E-06,0,none,690.8906966
203,-0.356674944,0.4,424,-13.96,143.84,0,2,AUS,1,6.82E-05,2,Partially Effective,880.0554815
204,-0.356674944,0.4,425,-13.96,144.38,1,2,AUS,1,1.36E-05,2,Partially Effective,608.9846183
205,-0.356674944,0.4,427,-13.97,144.5,1,2,AUS,1,1.46E-05,2,Partially Effective,510.6013171
206,-0.356674944,0.4,428,-13.97,146.67,1,2,AUS,0,5.11E+02,0,none,296.6793875
207,-0.356674944,0.4,435,-14.01,144.71,0,2,AUS,0,1.61E-05,2,Partially Effective,430.2603667
208,-0.356674944,0.4,436,-14.05,121.78,0.5,2,AUS,0,1.39E-06,0,Unrated,272.1740019
209,-0.356674944,0.4,444,-14.07,121.97,0,2,AUS,0,1.39E-06,0,Unrated,325.2091772
210,-0.356674944,0.4,439,-14.06,125.36,1,2,AUS,0,7.79E-06,0,none,437.4110134
211,-0.356674944,0.4,445,-14.08,121.74,0,2,AUS,0,1.39E-06,0,Unrated,266.6294638
212,-0.356674944,0.4,447,-14.11,121.72,1,2,AUS,0,1.39E-06,0,none,264.9233502
213,-0.005025168,0.7,453,-14.14,121.96,1,2,AUS,0,1.39E-06,0,Unrated,304.3119324
214,-0.356674944,0.4,449,-14.11,123.56,0,2,AUS,0,5.40E-08,0,none,256.3848134
215,-0.017686101,0.7,454,-14.16,-169.68,1,12,ASM,2,62.53753439,0,none,123.1037827
216,-0.356674944,0.4,459,-14.28,-170.67,0,12,ASM,50,35.34180555,0,none,10464.78398
217,-0.356674944,0.4,460,-14.31,136.89,0,2,AUS,0,0.004125049,0,none,4228.58179
